sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.1037904590338599e-08,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.015082773289268325,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.026130558603644105,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.22939703967868974,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04596199150756375,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04893889262565154,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.002658982537011245,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.1037904590338599e-08,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.028400104847615126,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05730478870058775,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.24962658670500326,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.09061176127679371,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0549450152576767,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.003467931083513731,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,1.1037904590338599e-08,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.007203707165773343,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.02532324327886548,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.23132363848583448,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04195738447547259,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.026016994897248735,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0018939225742193866,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,1.1037904590338599e-08,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.020310415055649456,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03269586335157493,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.18379061407787034,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.05013664473304558,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.031407287734473543,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0021212014505875842,6,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step77000,77000,ablate_zero,[2],[3]
