sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08777862787246704,1,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.12268632650375366,2,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.14057040214538574,3,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15768951177597046,4,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1653355360031128,5,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19839811325073242,6,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2067583203315735,7,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18718105554580688,8,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15282046794891357,9,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1488734483718872,10,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step143000,143000,ablate_copy_step1,[0],[5]
