sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act,It was an act desperate., desperate act, act desperate,desperate,False,-16.84368324279785,-20.79714584350586,3.953462600708008,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a humane act.,act,act,It was an act humane., humane act, act humane,humane,False,-16.986949920654297,-19.54566192626953,2.5587120056152344,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a magic act.,act,act,It was an act magic., magic act, act magic,magic,False,-15.070306777954102,-20.38199234008789,5.311685562133789,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a universal appeal.,appeal,appeal,He had an appeal universal., universal appeal, appeal universal,universal,False,-18.813812255859375,-20.96694564819336,2.1531333923339844,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had an undefinable appeal.,appeal,appeal,He had an appeal undefinable., undefinable appeal, appeal undefinable,undefinable,False,-21.03281021118164,-24.490201950073242,3.4573917388916016,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a legal appeal.,appeal,appeal,He had an appeal legal., legal appeal, appeal legal,legal,False,-15.698137283325195,-16.822193145751953,1.1240558624267578,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a tense atmosphere.,atmosphere,atmosphere,It was an atmosphere tense., tense atmosphere, atmosphere tense,tense,False,-16.69175910949707,-22.34320831298828,5.651449203491211,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a hostile atmosphere.,atmosphere,atmosphere,It was an atmosphere hostile., hostile atmosphere, atmosphere hostile,hostile,False,-14.913904190063477,-21.340702056884766,6.426797866821289,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a gaseous atmosphere.,atmosphere,atmosphere,It was an atmosphere gaseous., gaseous atmosphere, atmosphere gaseous,gaseous,False,-16.156442642211914,-23.42876434326172,7.272321701049805,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a gold band.,band,band,It was a band gold., gold band, band gold,gold,True,-13.453144073486328,-18.534162521362305,5.081018447875977,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a rubber band.,band,band,It was a band rubber., rubber band, band rubber,rubber,True,-12.573227882385254,-22.645071029663086,10.071843147277832,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a jazz band.,band,band,It was a band jazz., jazz band, band jazz,jazz,True,-12.362417221069336,-17.257152557373047,4.894735336303711,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was a police barrier.,barrier,barrier,There was a barrier police., police barrier, barrier police,police,True,-18.792654037475586,-18.94505500793457,0.15240097045898438,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was a concrete barrier.,barrier,barrier,There was a barrier concrete., concrete barrier, barrier concrete,concrete,False,-12.653186798095703,-17.92409324645996,5.270906448364258,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was a language barrier.,barrier,barrier,There was a barrier language., language barrier, barrier language,language,True,-17.51205062866211,-22.093433380126953,4.581382751464844,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw a furry bat.,bat,bat,He saw a bat furry., furry bat, bat furry,furry,False,-21.455047607421875,-26.407623291015625,4.95257568359375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw a fruit bat.,bat,bat,He saw a bat fruit., fruit bat, bat fruit,fruit,True,-17.63828468322754,-19.731046676635742,2.092761993408203,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw a wooden bat.,bat,bat,He saw a bat wooden., wooden bat, bat wooden,wooden,False,-15.257542610168457,-21.886829376220703,6.629286766052246,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the laser beam.,beam,beam,He saw the beam laser., laser beam, beam laser,laser,True,-12.178572654724121,-17.474361419677734,5.295788764953613,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the bright beam.,beam,beam,He saw the beam bright., bright beam, beam bright,bright,False,-17.350038528442383,-19.477794647216797,2.127756118774414,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the wood beam.,beam,beam,He saw the beam wood., wood beam, beam wood,wood,True,-17.32164764404297,-21.766021728515625,4.444374084472656,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a toy block.,block,block,She had a block toy., toy block, block toy,toy,True,-18.713909149169922,-24.500682830810547,5.786773681640625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a wooden block.,block,block,She had a block wooden., wooden block, block wooden,wooden,False,-16.51534652709961,-24.50859260559082,7.993246078491211,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a mental block.,block,block,She had a block mental., mental block, block mental,mental,False,-17.05277442932129,-23.937828063964844,6.885053634643555,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He has coagulated blood.,blood,blood,He has blood coagulated., coagulated blood, blood coagulated,coagulated,True,-26.265199661254883,-28.72338104248047,2.458181381225586,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He has thin blood.,blood,blood,He has blood thin., thin blood, blood thin,thin,False,-18.035329818725586,-21.02616310119629,2.990833282470703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He has noble blood.,blood,blood,He has blood noble., noble blood, blood noble,noble,False,-20.30707550048828,-26.55260467529297,6.2455291748046875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was the ironing board.,board,board,It was the board ironing., ironing board, board ironing,ironing,False,-22.77759552001953,-23.090557098388672,0.3129615783691406,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was the wooden board.,board,board,It was the board wooden., wooden board, board wooden,wooden,False,-15.023002624511719,-22.173133850097656,7.1501312255859375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was the executive board.,board,board,It was the board executive., executive board, board executive,executive,True,-17.657123565673828,-19.78056526184082,2.123441696166992,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a best-selling book.,book,book,He had a book best-selling., best-selling book, book best-selling,best-selling,False,-17.513103485107422,-22.019439697265625,4.506336212158203,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a popular book.,book,book,He had a book popular., popular book, book popular,popular,False,-14.230244636535645,-18.75813865661621,4.527894020080566,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a heavy book.,book,book,He had a book heavy., heavy book, book heavy,heavy,False,-15.979307174682617,-18.825889587402344,2.8465824127197266,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They ate a pancake breakfast.,breakfast,breakfast,They ate a breakfast pancake., pancake breakfast, breakfast pancake,pancake,True,-12.151403427124023,-14.920913696289062,2.769510269165039,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They ate a nutritious breakfast.,breakfast,breakfast,They ate a breakfast nutritious., nutritious breakfast, breakfast nutritious,nutritious,False,-17.131969451904297,-22.062763214111328,4.930793762207031,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They ate a family breakfast.,breakfast,breakfast,They ate a breakfast family., family breakfast, breakfast family,family,True,-12.80361270904541,-14.551504135131836,1.7478914260864258,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a red cape.,cape,cape,It was a cape red., red cape, cape red,red,False,-18.658916473388672,-22.711971282958984,4.0530548095703125,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a flowing cape.,cape,cape,It was a cape flowing., flowing cape, cape flowing,flowing,False,-22.463356018066406,-22.023815155029297,-0.4395408630371094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a rocky cape.,cape,cape,It was a cape rocky., rocky cape, cape rocky,rocky,False,-20.460285186767578,-26.90430450439453,6.444019317626953,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a beer case.,case,case,It was a case beer., beer case, case beer,beer,True,-17.158172607421875,-21.997060775756836,4.838888168334961,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a display case.,case,case,It was a case display., display case, case display,display,True,-14.662845611572266,-18.321121215820312,3.658275604248047,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a divorce case.,case,case,It was a case divorce., divorce case, case divorce,divorce,True,-15.231365203857422,-22.246891021728516,7.015525817871094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
