sentence,Head,Layer,Attention,n_params,mpath,revision,step
It was a desperate act.,0,0,0.29418548941612244,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,1,0,0.389816015958786,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,2,0,0.21202054619789124,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,3,0,0.34827882051467896,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,0,1,0.29005756974220276,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,1,1,0.40852347016334534,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,2,1,0.3359808623790741,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,3,1,0.10502205044031143,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,0,2,0.3847036063671112,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,1,2,0.6784467101097107,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,2,2,0.3365553319454193,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,3,2,0.2637682855129242,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,0,3,0.1918119639158249,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,1,3,0.2774352729320526,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,2,3,0.1309797614812851,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,3,3,0.1496586799621582,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,0,4,0.24598808586597443,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,1,4,0.19306626915931702,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,2,4,0.311088502407074,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,3,4,0.24588680267333984,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,0,5,0.2754732072353363,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,1,5,0.21070948243141174,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,2,5,0.34988144040107727,14067712,EleutherAI/pythia-14m,step31000,31000
It was a desperate act.,3,5,0.20002996921539307,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,0,0,0.25718438625335693,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,1,0,0.2864797115325928,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,2,0,0.1887568235397339,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,3,0,0.23310840129852295,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,0,1,0.35173091292381287,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,1,1,0.30535948276519775,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,2,1,0.3492998480796814,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,3,1,0.06558521836996078,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,0,2,0.36160749197006226,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,1,2,0.7396551966667175,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,2,2,0.3096635341644287,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,3,2,0.19568678736686707,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,0,3,0.2146613597869873,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,1,3,0.27520716190338135,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,2,3,0.11162550747394562,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,3,3,0.12657418847084045,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,0,4,0.2064422070980072,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,1,4,0.16669206321239471,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,2,4,0.2172541320323944,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,3,4,0.25800514221191406,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,0,5,0.303585410118103,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,1,5,0.20362256467342377,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,2,5,0.2316572368144989,14067712,EleutherAI/pythia-14m,step31000,31000
It was a humane act.,3,5,0.33392533659935,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,0,0,0.31686100363731384,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,1,0,0.3337869644165039,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,2,0,0.18172745406627655,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,3,0,0.25971826910972595,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,0,1,0.35118669271469116,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,1,1,0.3642646372318268,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,2,1,0.30038341879844666,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,3,1,0.10103072226047516,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,0,2,0.3758988380432129,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,1,2,0.7035291194915771,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,2,2,0.3486088216304779,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,3,2,0.24207155406475067,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,0,3,0.18569153547286987,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,1,3,0.25302162766456604,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,2,3,0.13095895946025848,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,3,3,0.1495642215013504,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,0,4,0.2645190954208374,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,1,4,0.1893748790025711,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,2,4,0.3229704797267914,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,3,4,0.26343613862991333,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,0,5,0.29034385085105896,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,1,5,0.22451381385326385,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,2,5,0.32121679186820984,14067712,EleutherAI/pythia-14m,step31000,31000
It was a magic act.,3,5,0.2038964033126831,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,0,0,0.22420863807201385,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,1,0,0.35468363761901855,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,2,0,0.19985496997833252,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,3,0,0.2469349205493927,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,0,1,0.29128143191337585,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,1,1,0.36435481905937195,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,2,1,0.22092612087726593,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,3,1,0.09051099419593811,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,0,2,0.23322956264019012,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,1,2,0.6892886757850647,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,2,2,0.34247180819511414,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,3,2,0.20941053330898285,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,0,3,0.1924511045217514,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,1,3,0.24421954154968262,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,2,3,0.1993687003850937,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,3,3,0.19998100399971008,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,0,4,0.24154508113861084,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,1,4,0.2089850902557373,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,2,4,0.3177429139614105,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,3,4,0.21900279819965363,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,0,5,0.12017840147018433,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,1,5,0.2054249495267868,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,2,5,0.2941053509712219,14067712,EleutherAI/pythia-14m,step31000,31000
He had a universal appeal.,3,5,0.20083403587341309,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,0,0,0.17771725356578827,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,1,0,0.2942211329936981,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,2,0,0.1655896008014679,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,3,0,0.216869056224823,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,0,1,0.3406408429145813,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,1,1,0.29421254992485046,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,2,1,0.1842222660779953,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,3,1,0.08960375189781189,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,0,2,0.24747101962566376,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,1,2,0.7571298480033875,14067712,EleutherAI/pythia-14m,step31000,31000
He had an undefinable appeal.,2,2,0.27004101872444153,14067712,EleutherAI/pythia-14m,step31000,31000
