sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.004678388985055126,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0496742586323341,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03886947746865377,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.20512375844826336,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07140459022162049,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03066379421523857,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.02150701510099895,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.062481512250078364,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.043709372666392854,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.2611603215225913,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08962845914269624,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.027570004183093966,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.007529812450454587,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03749089147791529,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03064943873111947,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.2327656110449261,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.12192900430163911,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.022375404738838367,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.012041309698039737,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
