sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02663177251815796,1,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04248780012130737,2,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.041645586490631104,3,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04328572750091553,4,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04198336601257324,5,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.038895249366760254,6,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03606283664703369,7,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03350841999053955,8,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03344923257827759,9,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03213578462600708,10,2.181818182,6,6,0,405334016,EleutherAI/pythia-410m,step32,32,ablate_copy_step1,[0],[2]
