sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.01324927806854248,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.027452826499938965,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.10192006826400757,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02341926097869873,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02830725908279419,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0004811882972717285,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.028217434883117676,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06646615266799927,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.14422541856765747,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03616452217102051,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04062288999557495,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0010067224502563477,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.009968221187591553,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.036630213260650635,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.11833775043487549,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.024575114250183105,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.015894412994384766,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a magic act.,act,act,Different Sense,0.00025600194931030273,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.01653313636779785,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.042302072048187256,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.10075134038925171,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.017795264720916748,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step139000,139000,ablate_zero,"[2, 2]","[0, 1]"
