sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.2978207952762943e-08,0,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08261428186668862,1,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09532513356472994,2,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.16163686016525858,3,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08794841275070986,4,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0729873457752821,5,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.031769299750513014,6,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.2978207952762943e-08,0,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.10029244103609514,1,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11503639969773383,2,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15369554708556932,3,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0932372155458342,4,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step73000,73000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0935454286534464,5,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step73000,73000
