sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate act.,act,act, desperate,0.057363346219062805,1.7804261445999146,0,0,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.11255191266536713,1.7763993740081787,1,0,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.23561307787895203,1.7640045881271362,2,0,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.6721562743186951,1.7584865093231201,3,0,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.22493334114551544,1.763951063156128,0,1,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.18799515068531036,1.787907361984253,1,1,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.10606740415096283,1.77915620803833,2,1,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.006813522428274155,1.7778244018554688,3,1,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.6175307035446167,1.7636959552764893,0,2,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.8737035989761353,1.7223756313323975,1,2,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.10402066260576248,1.7760732173919678,2,2,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.11892335116863251,1.7798373699188232,3,2,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.052308645099401474,1.7762260437011719,0,3,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.2957814037799835,1.7875535488128662,1,3,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,5.971503924229182e-05,1.7437281608581543,2,3,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,6.746270173607627e-07,1.7468206882476807,3,3,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.043448690325021744,1.7570524215698242,0,4,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.06915896385908127,1.7723424434661865,1,4,14067712,EleutherAI/pythia-14m,step15000,15000
It was a desperate act.,act,act, desperate,0.25958243012428284,1.7880806922912598,2,4,14067712,EleutherAI/pythia-14m,step15000,15000
