sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,act,act, desperate,0.044058285653591156,1.7759407758712769,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.0015475008403882384,1.7628490924835205,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.12144310027360916,1.7836720943450928,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.45564815402030945,1.7808735370635986,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.13927912712097168,1.7259864807128906,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.444659024477005,1.7759904861450195,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.3427184224128723,1.7759480476379395,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.2288552075624466,1.7866876125335693,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.4225527346134186,1.7780306339263916,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.17315036058425903,1.7837095260620117,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,9.865522461460774e-12,1.719656229019165,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.17097827792167664,1.7614190578460693,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.16471801698207855,1.7746098041534424,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.1389240324497223,1.7873958349227905,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.16592098772525787,1.7877020835876465,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.786029577255249,1.739522933959961,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.005325832404196262,1.777060627937317,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.23888614773750305,1.7883925437927246,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,1.5362442354671657e-05,1.7728393077850342,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,4.1025137420547253e-07,1.7692760229110718,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,0.49908632040023804,1.7765008211135864,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,7.2928046934706e-10,1.697601556777954,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,1.1715380987573552e-19,1.7613046169281006,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a desperate act.,act,act, desperate,1.5225273297469464e-17,1.743545651435852,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.09989649057388306,1.936661958694458,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.00529800821095705,1.9183331727981567,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.0746767520904541,1.9376851320266724,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.10139584541320801,1.941899299621582,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.006892740726470947,1.8580279350280762,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.018219735473394394,1.922560453414917,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.2531440854072571,1.9304068088531494,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
