sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.011008381843566895,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03393477201461792,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07015740871429443,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.12452524900436401,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.12180370092391968,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06757736206054688,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.021925806999206543,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05352908372879028,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15336179733276367,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.1072586178779602,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.09898620843887329,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step50000,50000,ablate_copy_step1,[2],[1]
