sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step,model_modification,layers_modified,heads_modified
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.008991122245788574,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.02772444486618042,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2214726209640503,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06989866495132446,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03931868076324463,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.018444061279296875,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.011197090148925781,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03879988193511963,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.25006335973739624,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07011359930038452,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0426790714263916,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03712499141693115,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.006186962127685547,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.028352856636047363,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.22727364301681519,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04033982753753662,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.021764039993286133,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a magic act.,act,act,Different Sense,0.014614224433898926,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.007368981838226318,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.02360224723815918,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.17049777507781982,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.042315006256103516,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.025409936904907227,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.029336214065551758,6,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0,0,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.009594202041625977,1,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.025961220264434814,2,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.13011932373046875,3,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06640106439590454,4,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.033801376819610596,5,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.015924274921417236,6,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0,0,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.005485892295837402,1,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.024580001831054688,2,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.16169989109039307,3,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.055164873600006104,4,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.02759772539138794,5,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0335426926612854,6,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step45000,45000,ablate_zero,[2],[0]
