sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a desperate kind of act.,act,act, desperate,0.03198350593447685,kind of, of,0.20968258380889893,0.23486770689487457,2.0744097232818604,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.10605942457914352,kind of, of,0.05914907157421112,0.2065456062555313,2.0692527294158936,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.09863962978124619,kind of, of,0.37404245138168335,0.25383687019348145,2.0654091835021973,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.6434178948402405,kind of, of,0.061942096799612045,0.2144780457019806,2.0536956787109375,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.014408305287361145,kind of, of,0.18998712301254272,0.38540753722190857,2.0470023155212402,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.1157626211643219,kind of, of,0.3798316717147827,0.32487550377845764,2.0727779865264893,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.10612643510103226,kind of, of,0.15148283541202545,0.29024720191955566,2.0760622024536133,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.004368094261735678,kind of, of,0.3234361708164215,0.10388799011707306,2.0695929527282715,3,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.4296501874923706,kind of, of,0.010397955775260925,0.27069365978240967,2.067559242248535,0,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.00010998031939379871,kind of, of,0.8137904405593872,0.6785875558853149,2.030266761779785,1,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.0922139510512352,kind of, of,0.0968090370297432,0.24642373621463776,2.072474718093872,2,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.10129247605800629,kind of, of,0.03747742995619774,0.16149385273456573,2.0697402954101562,3,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.02199592813849449,kind of, of,0.030500542372465134,0.1698942631483078,2.0665059089660645,0,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.15761615335941315,kind of, of,0.020132003352046013,0.2108537256717682,2.0751242637634277,1,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,2.2301703666016692e-06,kind of, of,0.0007453777943737805,0.14649680256843567,2.051931858062744,2,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,1.2412574967868295e-08,kind of, of,6.547963857883587e-05,0.14881829917430878,2.0522377490997314,3,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.04972882196307182,kind of, of,0.06134926900267601,0.20974579453468323,2.0640907287597656,0,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.07253197580575943,kind of, of,0.01066247932612896,0.1872909814119339,2.062364101409912,1,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.1367815136909485,kind of, of,0.3164394795894623,0.2963850200176239,2.0753908157348633,2,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.295259028673172,kind of, of,0.07466363906860352,0.23355573415756226,2.0756921768188477,3,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.018382757902145386,kind of, of,0.0023813832085579634,0.14186392724514008,2.055880546569824,0,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.02217460423707962,kind of, of,0.026276346296072006,0.1656055450439453,2.0583298206329346,1,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.4232124984264374,kind of, of,0.06958522647619247,0.2611633837223053,2.069736957550049,2,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a desperate kind of act.,act,act, desperate,0.2037525475025177,kind of, of,0.09332671016454697,0.24627968668937683,2.077005386352539,3,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.0072202980518341064,kind of, of,0.21516668796539307,0.20307159423828125,2.191342830657959,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.006501699332147837,kind of, of,0.06817752122879028,0.16778892278671265,2.1838955879211426,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.025182655081152916,kind of, of,0.3957032263278961,0.18455153703689575,2.181633472442627,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.02308005467057228,kind of, of,0.1668969839811325,0.17822414636611938,2.1929402351379395,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.007389534264802933,kind of, of,0.17842034995555878,0.4003297686576843,2.165520191192627,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.020948316901922226,kind of, of,0.46571803092956543,0.31254592537879944,2.18601131439209,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.07924160361289978,kind of, of,0.17833663523197174,0.272230327129364,2.1941168308258057,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.0001494023745181039,kind of, of,0.24757203459739685,0.06534818559885025,2.185471296310425,3,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.06118464097380638,kind of, of,0.028894955292344093,0.3079851269721985,2.186089038848877,0,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,6.098484664107673e-05,kind of, of,0.8145722150802612,0.7077421545982361,2.151456356048584,1,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.05648181959986687,kind of, of,0.13054218888282776,0.22369134426116943,2.19368839263916,2,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.006689106579869986,kind of, of,0.03172048181295395,0.12990403175354004,2.185072898864746,3,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.05275322496891022,kind of, of,0.019998405128717422,0.15763846039772034,2.1853859424591064,0,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.09114491939544678,kind of, of,0.019472364336252213,0.20635829865932465,2.1933107376098633,1,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.0026972275227308273,kind of, of,0.0007157266954891384,0.1282811164855957,2.17158842086792,2,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.0011596422409638762,kind of, of,4.4197662646183744e-05,0.13025261461734772,2.1719419956207275,3,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.04020451381802559,kind of, of,0.05426560714840889,0.16689057648181915,2.186133861541748,0,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.02136397548019886,kind of, of,0.017843294888734818,0.1673698127269745,2.180659294128418,1,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.030254311859607697,kind of, of,0.4115700423717499,0.23839281499385834,2.188926935195923,2,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.10535100102424622,kind of, of,0.0820467472076416,0.24819698929786682,2.1950576305389404,3,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.04633615165948868,kind of, of,0.005947632249444723,0.1659666895866394,2.1804580688476562,0,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.028278645128011703,kind of, of,0.044123951345682144,0.16139167547225952,2.1818370819091797,1,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.09887940436601639,kind of, of,0.08723700046539307,0.1921425312757492,2.1937642097473145,2,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a humane kind of act.,act,act, humane,0.14145494997501373,kind of, of,0.08169976621866226,0.2565746605396271,2.195012092590332,3,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.050868790596723557,kind of, of,0.2055918574333191,0.22874587774276733,2.0748143196105957,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.015027725137770176,kind of, of,0.06517232954502106,0.17869706451892853,2.0658586025238037,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.05406918376684189,kind of, of,0.39253804087638855,0.2104087769985199,2.0634570121765137,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.2582314908504486,kind of, of,0.12885311245918274,0.1910163015127182,2.0761332511901855,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.026139209046959877,kind of, of,0.1767883151769638,0.42507943511009216,2.0440268516540527,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.04774891957640648,kind of, of,0.42850345373153687,0.329801082611084,2.0699594020843506,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.14742110669612885,kind of, of,0.15141043066978455,0.23643715679645538,2.0763840675354004,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
