sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06281983852386475,1,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07899951934814453,2,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08551305532455444,3,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08547854423522949,4,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0819137692451477,5,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07401961088180542,6,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07067734003067017,7,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06626540422439575,8,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.061382412910461426,9,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05890917778015137,10,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05521821975708008,11,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.052145183086395264,12,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.049199581146240234,13,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04592251777648926,14,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04272383451461792,15,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03984951972961426,16,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03651297092437744,17,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03379559516906738,18,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03121703863143921,19,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.028806567192077637,20,2.181818182,6,6,0,11846072320,EleutherAI/pythia-12b,step256,256
