sentence_new,sentence_original,word,construction,class_disambiguating_word,class_ambiguous_word,string,disambiguating_word_new,Attention,Entropy,Head,Layer,n_params,mpath,revision,step
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.049423106014728546,1.5860532522201538,0,0,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.044812627136707306,1.5625967979431152,1,0,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.6967266201972961,1.5700891017913818,2,0,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.7695983052253723,1.5570006370544434,3,0,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.011623148806393147,1.5388870239257812,0,1,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.238022580742836,1.5939548015594482,1,1,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.111536405980587,1.6010189056396484,2,1,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,1.3557366401073523e-05,1.5725308656692505,3,1,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.2519628405570984,1.5905460119247437,0,2,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.09330597519874573,1.5595486164093018,1,2,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.30969125032424927,1.602076530456543,2,2,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.2772689759731293,1.5826174020767212,3,2,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.013057206757366657,1.5093480348587036,0,3,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.014928420074284077,1.5080076456069946,1,3,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.0004116385243833065,1.5003559589385986,2,3,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.0005462971166707575,1.500411868095398,3,3,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.021092446520924568,1.564561367034912,0,4,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,2.4973855033749714e-05,1.500230312347412,1,4,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.26877063512802124,1.600171446800232,2,4,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.017281878739595413,1.506927490234375,3,4,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,1.3742731051352719e-16,1.5002226829528809,0,5,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,9.237453468813328e-09,1.5002226829528809,1,5,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,0.009952171705663204,1.513656497001648,2,5,14067712,EleutherAI/pythia-14m,step133000,133000
She wore a band.,It was a gold band.,band,active,V,N,band, wore,4.1586773302621934e-17,1.5002226829528809,3,5,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.012460609897971153,1.7655278444290161,0,0,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.015043494291603565,1.7435195446014404,1,0,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.659528911113739,1.7593376636505127,2,0,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.6266207695007324,1.7627232074737549,3,0,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.005688935983926058,1.7174251079559326,0,1,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.12182379513978958,1.7719871997833252,1,1,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.027044164016842842,1.7761930227279663,2,1,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,2.485153913767135e-07,1.7226688861846924,3,1,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.0686260387301445,1.7463287115097046,0,2,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.1088651493191719,1.7556178569793701,1,2,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.23394662141799927,1.7847390174865723,2,2,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.2640894949436188,1.772431492805481,3,2,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.008082027547061443,1.7000740766525269,0,3,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.0003690298763103783,1.7016117572784424,1,3,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,8.357094884559046e-06,1.6914091110229492,2,3,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.44780178743531e-05,1.6914196014404297,3,3,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.0010182124096900225,1.7099897861480713,0,4,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,7.764690934664031e-08,1.6914043426513672,1,4,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.21578489243984222,1.7800962924957275,2,4,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.00039723655208945274,1.7068371772766113,3,4,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.2445514915769825e-26,1.6914043426513672,0,5,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,1.5898844552569467e-21,1.6914043426513672,1,5,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,0.20486070215702057,1.7368464469909668,2,5,14067712,EleutherAI/pythia-14m,step133000,133000
She snapped a band. ,It was a rubber band.,band,active,V,N,band, snapped,2.4543607344604063e-30,1.6914043426513672,3,5,14067712,EleutherAI/pythia-14m,step133000,133000
She watched a band. ,It was a jazz band.,band,active,V,N,band, watched,0.018305618315935135,1.7660174369812012,0,0,14067712,EleutherAI/pythia-14m,step133000,133000
She watched a band. ,It was a jazz band.,band,active,V,N,band, watched,0.006136919837445021,1.7422370910644531,1,0,14067712,EleutherAI/pythia-14m,step133000,133000
She watched a band. ,It was a jazz band.,band,active,V,N,band, watched,0.7929572463035583,1.7386412620544434,2,0,14067712,EleutherAI/pythia-14m,step133000,133000
She watched a band. ,It was a jazz band.,band,active,V,N,band, watched,0.21663568913936615,1.7763042449951172,3,0,14067712,EleutherAI/pythia-14m,step133000,133000
